"region_code","region_name","latitude","longitude","division","country","date","period","population","revenue","volume","customers","channelCosts","margin","revenueVsPotential","ownStores","indirectStores","EEStores","o2Stores","salesVsPotential","VFcustomerShare","digitalPropensity","acqMarketShare","networkSpeed","networkLatency","channelRevenueOnline","channelRevenueOnlinefixed","channelRevenueOnlinepostpayAcq","channelRevenueOnlinepostpayRenewal","channelRevenueOnlineprepay","channelRevenueTelesales","channelRevenueTelesalesfixed","channelRevenueTelesalespostpayAcq","channelRevenueTelesalespostpayRenewal","channelRevenueTelesalesprepay","channelRevenueRetail","channelRevenueRetailfixed","channelRevenueRetailpostpayAcq","channelRevenueRetailpostpayRenewal","channelRevenueRetailprepay","channelRevenueIndirect","channelRevenueIndirectfixed","channelRevenueIndirectpostpayAcq","channelRevenueIndirectpostpayRenewal","channelRevenueIndirectprepay","channelVolumeOnline","channelVolumeOnlinefixed","channelVolumeOnlinepostpayAcq","channelVolumeOnlinepostpayRenewal","channelVolumeOnlineprepay","channelVolumeTelesales","channelVolumeTelesalesfixed","channelVolumeTelesalespostpayAcq","channelVolumeTelesalespostpayRenewal","channelVolumeTelesalesprepay","channelVolumeRetail","channelVolumeRetailfixed","channelVolumeRetailpostpayAcq","channelVolumeRetailpostpayRenewal","channelVolumeRetailprepay","channelVolumeIndirect","channelVolumeIndirectfixed","channelVolumeIndirectpostpayAcq","channelVolumeIndirectpostpayRenewal","channelVolumeIndirectprepay"
9,"East Anglia",52.399452,0.264206,"South","United Kingdom","2018-01-31","month",3177042,5658188,1139,3518061,928903,35023,-0.115,22,8,32,24,0.0977,0.354,0.273,0.337,1.96,63.4,131398,38127,37461,21732,18434,83577,12529,10913,9839,11856,63982,15570,15314,8480,8241,161169,43178,25210,25630,21967,94408,36672,21545,16418,12877,93545,22127,19343,13270,10952,109275,36032,13202,12048,13609,72465,12792,8089,11181,9158
5,"East Midlands",52.522979,-1.467778,"North","United Kingdom","2018-01-31","month",2624172,4127153,1178,2915026,932751,38261,0.195,23,12,39,29,0.0172,0.112,0.0168,0.435,3.56,93.9,117879,29488,24078,15176,12916,91519,18128,14875,14486,9642,165841,31573,21538,19523,22634,148014,23225,37884,15568,17609,139274,42284,26279,22384,16315,156905,36960,17180,27333,20062,66128,10895,12839,6619,8033,86014,22910,10732,9647,12249
15,"Essex and Herts",51.963206,1.351792,"South","United Kingdom","2018-01-31","month",2517586,5152023,1185,3401879,887619,36457,-0.154,19,9,29,21,-0.0394,0.492,-0.186,0.487,3.51,72.8,129680,47822,33137,16396,16823,121078,12766,20860,22544,14499,74344,20073,13132,8244,7660,102990,23298,17627,19736,13037,65892,20272,14392,7293,9087,84939,18221,20127,14267,9799,117572,42488,14930,21350,17612,138464,28532,24654,17394,14660
18,"Home Counties",51.352162,-1.993762,"South","United Kingdom","2018-01-31","month",2567996,4568978,1174,3239006,1012243,35817,0.167,20,15,26,16,-0.0746,0.268,-0.189,-0.0137,2.16,86,117839,24451,13693,16835,14882,79401,10515,17645,10360,10680,92459,14141,14190,17057,13770,107710,15593,30624,21174,11667,123568,44896,34743,20099,14185,72746,15085,20937,10044,7286,130537,20122,28045,21692,18404,136787,43400,30913,22881,16664
4,"Lancs Cumbria Pennines",53.789622,-2.243294,"North","United Kingdom","2018-01-31","month",2843162,5444898,1123,2657122,754145,45383,0.0375,20,13,27,31,-0.0605,0.16,0.143,0.342,0.243,45.1,97993,25585,10693,15871,9846,94538,11192,21340,15466,13326,141516,56438,31446,15454,18354,145228,44462,24179,21538,17724,130777,38780,21574,14753,13276,103971,34826,22946,14853,12761,107592,14257,29986,16111,11295,76526,24604,13163,12542,10491
6,"London East",51.537937,0.080932,"South","United Kingdom","2018-01-31","month",2620091,5071477,1154,3707405,1021273,42547,-0.0896,21,9,45,20,-0.0775,0.0896,0.174,0.489,4.38,55.9,66562,21302,19331,11555,9905,86132,20277,20455,9584,9067,124325,40557,19190,19051,15570,97750,30708,27340,17243,14592,90184,27142,20519,16344,12059,148484,58578,25005,27816,20600,87386,34304,12964,17304,12209,63821,15688,8845,6396,9006
17,"London North",51.655197,-0.277485,"South","United Kingdom","2018-01-31","month",3887389,3779221,1154,2581112,893453,47640,-0.164,21,8,28,21,-0.161,0.027,-0.0996,0.337,4.02,90.5,148313,50016,41990,25046,15542,77424,20151,16702,9064,11314,122377,12303,23588,13283,17737,73659,22945,16771,9673,10729,101430,28477,23343,12507,10340,99179,31849,15334,11995,14423,64917,19358,16479,9007,6675,92864,21567,10162,18074,9938
16,"London South",51.486872,-0.095581,"South","United Kingdom","2018-01-31","month",3084508,4522820,1043,3035302,930056,47551,-0.0339,19,8,28,17,-0.174,0.36,0.0146,0.337,1.6,72.1,138501,40094,33753,15888,17253,67726,19472,13965,7403,8537,127109,32921,14121,18997,16303,132100,50361,19833,16460,16259,78767,17461,16992,8386,10020,86493,17178,24544,11843,12823,157288,52988,36256,28975,22973,95202,13758,11473,11341,14235
19,"London West",51.509384,-0.195825,"South","United Kingdom","2018-01-31","month",3144429,4729152,1171,3830617,1012662,35109,0.0488,21,9,26,16,-0.0401,0.486,0.0819,0.457,1.2,47,70856,7334,11072,8540,7894,65748,24689,15336,10168,7915,83933,10397,11532,16761,12008,96918,37599,27404,12212,11912,87067,10036,24414,10684,9752,133413,44604,22409,24272,17123,119515,14623,18451,20914,16943,77931,16449,11978,15314,9029
2,"Manchester",53.386478,-2.351433,"North","United Kingdom","2018-01-31","month",3754179,6104184,1249,2776401,850865,38933,-0.00846,21,9,43,31,0.154,0.171,0.292,0.338,4.23,74.3,73057,24512,18904,7432,7685,162610,17765,46166,30167,17393,128047,37380,26231,16387,17780,160761,53478,30121,22738,18402,164107,32449,22428,19846,19216,151541,29944,44923,19039,21267,138514,26443,24722,19152,15671,161969,38001,47137,23826,16732
